,Country,Missing_Rows
0,Kenya,14
1,Bolivia (Plurinational State of),11
2,Costa Rica,1
3,Cuba,1
4,Haiti,18
5,Jamaica,6
6,Malawi,8
7,Mexico,10
8,Nicaragua,13
9,Panama,20
10,Peru,4
11,Rwanda,13
12,Zambia,7
13,Benin,26
14,Central African Republic,6
15,Congo,22
16,Côte d'Ivoire,1
17,Gabon,9
18,Ghana,22
19,Guinea,23
20,Nigeria,24
21,Sierra Leone,26
22,Trinidad & Tobago,19
